concept,dimension,culture,support_annotations,support_images,top_emotions,example_image_ids,example_texts
blue cloak,objects_subjects,en,51,10,awe=0.514; contentment=0.189; sadness=0.099,bartolome-esteban-murillo_virgin-and-child-1650; correggio_adoration-of-the-child-1520(2); francisco-de-zurbaran_the-immaculate-conception-1661; giovanni-battista-tiepolo_hagar-assisted-by-the-angel; jan-van-eyck_the-annunciation,"The richness of their clothing, the soft expression, the embrace make this feel like a loving moment between mother and child. || A mother embraces her small child in her arms. || It looks soft,and loving.The light focussing on the mother and child is sweet and calming."
clay jug,objects_subjects,en,40,8,contentment=0.551; awe=0.146; excitement=0.101,childe-hassam_the-rose-garden; edmund-dulac_a-loaf-of-bread-the-rubaiyat-of-omar-khayyam; gerrit-dou_the-village-grocer-1647; ion-theodorescu-sion_by-the-water-1925; ion-theodorescu-sion_compozi-ie-cu-motive-rom-ne-ti-1924,The pruned shape of the trees and the entryway in the wall make this feel like the corner of a secluded garden. || Beautiful rose bushes/topiaries which make me think of Cinderella's garden. || The white specs look like seagulls scavenging for food.
fence,objects_subjects,en,185,39,contentment=0.641; something else=0.092; awe=0.087,000049_d3f6b57d32; 01KDGMP0DPPN2XJ5SRVN3CESGQ; 01KDGMP0YKMMEX4GXZEH87VAMK; 01KDGMP230J0V888JY81A71T7Y; adam-baltatu_house-on-siret-valley,"The tree itself bends to match the majesty of the mountain. || A road leading to something, a very powerful message, I guess || in awe of the landscape which looks large and looming with a person in the middle who looks quite interesting."
flowering trees,objects_subjects,en,74,21,contentment=0.389; awe=0.223; excitement=0.146,000020_b8b9a25d72; 000043_56fbd4bf00; 000059_3de0c2a898; 000068_456175fac7; 000070_10688d3977,"i like the colour pallette of reds and blues used as they go together well || It is very clean and says a lot in a small space || Although the placement of the main image is confusing, the overall colour and composition is pleasing."
quiver,objects_subjects,en,41,11,awe=0.231; fear=0.209; amusement=0.187,000071_447961a6f0; 000095_02715f3f1e; 000114_199dcaf3ca; 000118_349660d311; 000118_fe48ceecd9,"The birds are about to be trounced by the humongous horses || The couple of the horses look very in love. || two people riding a horse each, they are looking at each other"
tiger,objects_subjects,en,33,9,amusement=0.200; awe=0.200; fear=0.200,000019_d36d6e009e; 000052_e57fc41f6a; 000100_05cdc234eb; 000162_5e509abcd9; 000163_72f5c85651,Reflect a feeling of quiet joy and emotional balance || Face of tiger terrifying looks like a demon even though painting style is full of life. Love the magpie. || The bold yellow eyes of the animal and the teeth on show create an uneasy feel that you are the prey
undergrowth,objects_subjects,en,46,9,awe=0.386; contentment=0.287; fear=0.149,gustave-dore_the-forest; ivan-kramskoy_bois-de-boulogne-near-paris-1876; ivan-shishkin_fir-forest-1890; ivan-shishkin_forest-3; ivan-shishkin_grass-1892,"Spooky!  This strikes me as a fairy tale or folklore, wonderfully creepy dark forest - what is he hiding? || The man looks fearful as he looks back toward safety as he prepares to enter a dark and dense forest. || Looks like he was being chased into the woods and is looking behind himself to see if anyone is still following him."
desert landscape,scenes_settings,en,89,19,contentment=0.422; awe=0.155; excitement=0.134,david-burliuk_mexico-1948; derek-boshier_pepsi-high-1962; kuzma-petrov-vodkin_shah-i-zinda-1921; marc-chagall_the-monument-on-the-tomb-of-rachel-on-the-path-ephra-genesis-xxxv-19-20; martiros-saryan_arzni-1942,"I feel awe of the beautiful land that is surrounding the colorful flowers. || the flower arrangement in the pot is peaceful. || The book beside the flowers gives me a feeling a calm contentment, as though I am resting in the countryside on a sunny day, about to read."
garden setting,scenes_settings,en,255,70,contentment=0.534; awe=0.198; excitement=0.091,000001_6eff987192; 000004_255e3e875a; 000020_ec6e91f4eb; 000027_dd08d94639; 000037_a9a7ff7536,The red in the picture is very vibrant and fascinating || The gods in the painting looks very gracious. || The strong colours in the background and how impressive the building looks gives me a sense of awe. The blue man on the bed is clearly a god which gives me a sense of awe.
indoor setting,scenes_settings,en,2057,413,contentment=0.385; awe=0.147; sadness=0.146,000061_886c9a1b73; 000098_9a15a06999; 000126_42e540d9c9; 000141_b01be4a36d; 000187_3f9c6ec23e,"the way that the characters are drawn and the fatness of them is disgusting || This arrangement of Japanese people is curious in that they are arranged almost on top of each other, but they all seem to be looking at the woman on the bottom right and it is unclear if they are hostile towards her or bowing to her superiority || They all looks ugly and grumpy especially the fat ones on the top"
cream white,colors_color_schemes,zh,421,83,contentment=0.683; sadness=0.100; fear=0.060,000090_6623d8b553; 000157_8e25226bf3; 000297_d1bc72ecda; 01KDGMP0M2M9SNSREJNEVQ97KB; 01KDGMP0V4VGZDX6FTCTAT0KE2,人物线条很模糊，颜色也不够协调 || 她脸上没什么笑容，眼神冷冷的。 || 人物衣服线条不清晰，颜色不够协调
grey-blue,colors_color_schemes,zh,55,12,contentment=0.479; disgust=0.109; sadness=0.109,000126_42e540d9c9; 000249_703dfe566d; 01KDGMP0P4A88KDYW3N419ZDVS; corneliu-michailescu_fountain-in-italy; henri-matisse_not-identified-11,绘画风格突出，画风不错 || 物品画的很细致，颜色运用丰富，色彩搭配很生动 || 画面中水果条纹紊乱
shades of brown,colors_color_schemes,zh,76,20,contentment=0.342; disgust=0.193; fear=0.168,000059_c2dd755270; 000311_0c151e9f23; 01KDGMP0V77YD5Q76Z9KC71C3Z; 01KDGMP0VPCBZ5JC886BXNQKRP; 01KDGMP10JDZ9ZHGGWS12T88RA,描绘两匹马，它们的姿态充满了爆发力 || 色彩过渡自然，马刻画的比较生动 || 右手面的馬匹的姿勢很奇怪
fauvist style,compositional_style,zh,37,7,contentment=0.759; excitement=0.084; awe=0.060,albert-marquet_the-port-of-marseliles-1904; henri-matisse_corner-of-the-artist-s-studio-1912; henri-matisse_olive-trees-1898; henri-matisse_the-family-of-the-artist-1911; henri-matisse_woman-with-umbrella,蓝色的水和船，高高的桅杆，未来激动人心，令人感到兴奋。 || 人们在海边生活，以海里的海鲜为生，让人觉得富有智慧，心生美好。 || 天气晴朗，几艘颜色明丽的小船停留在岸边仿佛即将出发，让人为接下来的征途感到期待兴味不已。
shrubs,objects_subjects,zh,341,66,contentment=0.719; awe=0.100; sadness=0.071,000329_c399127809; 01KDGMP0RTMGCW0XTH4GDJJ2X2; 01KDGMP17YD05VKAHBCB07E1VY; 01KDGMP201B03D10QZMV38NSK6; 01KDGMP702W19EFP3X28JSXMYB,画面昏暗模糊，人物细节不到位 || 左侧人物额头奇怪突出很诡异 || 画面人物整体面部诡异
wooden barrel,objects_subjects,zh,32,6,contentment=0.534; sadness=0.233; fear=0.068,adriaen-brouwer_the-card-players; gerrit-dou_woman-eating-porridge; jan-steen_wedding-of-tobias-and-sarah-1668; miklos-barabas_the-arrival-of-the-daughter-in-law-1856; vasily-perov_triple-1865,两个男人在打牌，身旁两个孩子在围观，画面色调温暖，给人温馨的感觉。 || 画面中中一群人围着桌子，喝酒 || 男人们坐在桌前对着账单，紧张的气氛让人厌烦。
beach scene,scenes_settings,zh,274,50,contentment=0.745; excitement=0.081; awe=0.077,antonio-carneiro_praia-da-figueira-da-foz-1921; claude-monet_cliff-near-fecamp; claude-monet_low-tide-at-varengeville-02; claude-monet_on-the-beach-at-trouville-1871; claude-monet_the-boardwalk-on-the-beach-at-trouville,沙滩上，许多人在度假玩耍，画面看上去让人感到十分满足。 || 大海与沙滩的结合让人感到很安逸美好。 || 秋千高高的荡起来，有一种飞起来的感觉，让人感觉很开心。
dusk,scenes_settings,zh,74,14,contentment=0.656; sadness=0.121; excitement=0.057,charles-francois-daubigny_the-orchard-at-sunset; childe-hassam_nocturne-hyde-park-corner; edouard-cortes_caf-de-la-paix-paris-1; edouard-cortes_rue-royale-madeleine-2; edward-hopper_house-at-dusk,日出的时候照耀着丛林让人看着很是满足 || 太阳渐渐的下山了，枯草随风飘摇，树木长得枝繁叶茂，如此静谧的画面不禁令人感到满足。 || 黑压压的树林给人极强的压迫感
rainy day,scenes_settings,zh,60,12,contentment=0.705; excitement=0.085; awe=0.070,01KDGMP1XREWNW5D7WCG6JBRFK; antoine-blanchard_la-rue-lafayette-et-le-square-montholon; antoine-blanchard_omnibus-on-the-place-de-la-madeleine; antoine-blanchard_porte-st-denis-1; edouard-cortes_caf-de-la-paix-paris-1,画面太橘色调了，黑色笔触显得很脏 || 船上乘客撑伞交谈，桥上人物撑伞交谈，樵夫挑柴匆忙赶路，山林的静谧，互相之间的动静对比，更加体现高深的美丽感觉 || 黄昏时分的河边，有人在桥上行走。
lace patterns,symbolic_cultural_motifs,zh,47,9,contentment=0.689; awe=0.068; excitement=0.068,anthony-van-dyck_william-ii-prince-of-orange-and-princess-henrietta-mary-stuart-daughter-of-charles-i-of-england-1641; antoine-pesne_luise-ulrike-von-preu-en; cornelis-de-vos_elisabeth-or-cornelia-vekemans-as-a-young-girl; cornelis-de-vos_portrait-of-a-lady-with-a-fan; frans-hals_portrait-of-mary-pietersdr-olycan,图片中有一位女子，身穿白色的衣裙，鼻子高挺，嘴角上扬。让人感觉画面很美。 || 手拿帽子的男孩牵着身穿白色长裙的女孩，两人脸上都有微笑，给人一种友爱的感觉。 || 一个穿着红色衣服的女子牵着白色衣服的女子，给人一种欢乐的感觉。
