concept,dimension,support_en,support_zh,support_ar,top_en,top_zh,top_ar,js_zh_en,js_ar_en,js_zh_ar,mean_js
harbor view,scenes_settings,62,20,20,contentment=0.594,contentment=0.714,amusement=0.592,0.098248,0.229947,0.294185,0.207460
water waves,objects_subjects,22,20,20,fear=0.358,fear=0.388,awe=0.592,0.134486,0.248081,0.239192,0.207253
yellow trees,objects_subjects,11,10,10,contentment=0.355,contentment=0.379,amusement=0.379,0.120304,0.296755,0.204406,0.207155
parasols,objects_subjects,61,70,63,contentment=0.634,contentment=0.839,amusement=0.644,0.045930,0.212600,0.362730,0.207087
domed church,objects_subjects,29,30,29,awe=0.552,contentment=0.826,contentment=0.284,0.331655,0.081770,0.207546,0.206990
stylized foliage,compositional_style,10,10,10,amusement=0.310,contentment=0.655,amusement=0.517,0.227955,0.052042,0.340420,0.206806
festive gathering,scenes_settings,20,18,17,excitement=0.429,contentment=0.600,amusement=0.442,0.210200,0.101029,0.309088,0.206772
shaved heads,objects_subjects,15,15,15,fear=0.282,fear=0.282,awe=0.590,0.099985,0.207147,0.313069,0.206734
scrolls,symbolic_cultural_motifs,25,28,28,awe=0.492,contentment=0.631,awe=0.415,0.283274,0.072574,0.263790,0.206546
carnival,scenes_settings,10,10,10,excitement=0.517,contentment=0.517,amusement=0.517,0.147457,0.285667,0.186498,0.206541
nasta liq script,compositional_style,15,15,19,awe=0.385,disgust=0.436,awe=0.362,0.225477,0.110371,0.282731,0.206193
distant sailboat,objects_subjects,33,35,34,contentment=0.573,contentment=0.646,amusement=0.481,0.043262,0.286765,0.288449,0.206159
cornflowers,objects_subjects,21,22,18,contentment=0.490,contentment=0.811,amusement=0.556,0.078285,0.260413,0.278966,0.205888
plain,objects_subjects,10,11,10,awe=0.448,contentment=0.742,amusement=0.379,0.184116,0.206338,0.226970,0.205808
high-key lighting,compositional_style,37,38,33,contentment=0.518,contentment=0.859,amusement=0.333,0.095758,0.187369,0.334264,0.205797
canal scene,scenes_settings,62,64,55,contentment=0.609,contentment=0.810,amusement=0.445,0.084938,0.184987,0.346969,0.205631
liquid,objects_subjects,11,10,10,amusement=0.484,contentment=0.448,amusement=0.241,0.298969,0.083739,0.232141,0.204950
grand piano,objects_subjects,19,20,20,awe=0.319,contentment=0.633,amusement=0.510,0.129380,0.212788,0.272506,0.204891
train,objects_subjects,15,15,15,contentment=0.641,contentment=0.641,amusement=0.487,0.009948,0.309574,0.294464,0.204662
yellow garments,colors_color_schemes,15,15,17,excitement=0.282,contentment=0.385,amusement=0.442,0.228653,0.134673,0.250641,0.204656
traditional russian dress,objects_subjects,12,10,10,contentment=0.576,contentment=0.724,amusement=0.517,0.024326,0.234664,0.353616,0.204202
mandorla,symbolic_cultural_motifs,19,18,18,awe=0.660,contentment=0.556,awe=0.333,0.308826,0.080902,0.222820,0.204183
flat-roofed buildings,objects_subjects,15,16,15,awe=0.385,contentment=0.512,contentment=0.436,0.241493,0.259248,0.111272,0.204005
stone bench,objects_subjects,25,26,25,contentment=0.559,contentment=0.836,amusement=0.390,0.062198,0.200842,0.348159,0.203733
rectangular frame,objects_subjects,15,15,15,something else=0.487,contentment=0.641,something else=0.385,0.260578,0.098224,0.251974,0.203592
pineapple,objects_subjects,14,16,13,contentment=0.459,contentment=0.707,awe=0.314,0.061407,0.218447,0.330903,0.203585
pale lavender,colors_color_schemes,24,26,25,contentment=0.579,contentment=0.738,amusement=0.559,0.020778,0.259751,0.330094,0.203541
warm interior lighting,compositional_style,10,11,10,contentment=0.241,contentment=0.742,amusement=0.517,0.158061,0.167227,0.284707,0.203332
knight,objects_subjects,20,20,18,awe=0.388,contentment=0.388,sadness=0.333,0.225808,0.166248,0.217132,0.203063
baimiao technique,compositional_style,45,45,49,contentment=0.232,disgust=0.535,awe=0.364,0.204757,0.115529,0.288641,0.202975
impressionist color palette,colors_color_schemes,14,15,15,contentment=0.622,contentment=0.744,amusement=0.538,0.017931,0.265454,0.325444,0.202943
waterfront village,scenes_settings,14,16,15,contentment=0.568,contentment=0.756,awe=0.436,0.036215,0.226161,0.345841,0.202739
oil sketch,compositional_style,15,16,15,awe=0.385,contentment=0.415,amusement=0.231,0.241357,0.168681,0.197829,0.202622
two nude men,objects_subjects,10,10,10,amusement=0.448,disgust=0.379,disgust=0.586,0.219907,0.296865,0.090894,0.202556
tabletop scene,scenes_settings,27,26,25,contentment=0.524,contentment=0.770,amusement=0.492,0.080401,0.255534,0.270918,0.202285
outdoor daylight scene,scenes_settings,57,61,55,contentment=0.528,contentment=0.756,amusement=0.479,0.072730,0.217980,0.315916,0.202208
blue sea,objects_subjects,11,10,10,contentment=0.613,contentment=0.586,amusement=0.517,0.013265,0.308999,0.284268,0.202177
mon crest,symbolic_cultural_motifs,24,24,24,fear=0.404,disgust=0.404,awe=0.404,0.215386,0.130414,0.260426,0.202075
floral kimono patterns,symbolic_cultural_motifs,11,11,11,excitement=0.355,contentment=0.548,something else=0.355,0.172250,0.134603,0.298764,0.201872
cherubs,symbolic_cultural_motifs,20,18,18,awe=0.429,contentment=0.689,contentment=0.289,0.347298,0.134673,0.122259,0.201410
large deciduous tree,objects_subjects,10,10,10,contentment=0.517,contentment=0.586,awe=0.448,0.062760,0.205937,0.335230,0.201309
mounted warriors,objects_subjects,12,12,12,fear=0.394,disgust=0.515,awe=0.273,0.151926,0.154241,0.297509,0.201226
stylized face,objects_subjects,25,25,23,fear=0.356,fear=0.492,awe=0.491,0.069661,0.247333,0.286583,0.201192
studio lighting,compositional_style,76,77,75,amusement=0.304,contentment=0.546,awe=0.396,0.279826,0.098498,0.225246,0.201190
saris,objects_subjects,14,12,16,excitement=0.297,contentment=0.515,amusement=0.317,0.182772,0.114294,0.306432,0.201166
soft modeling,compositional_style,10,10,10,awe=0.379,contentment=0.448,contentment=0.517,0.314405,0.238817,0.049536,0.200919
muted lavender,colors_color_schemes,15,15,15,contentment=0.692,contentment=0.641,amusement=0.590,0.017149,0.298623,0.286826,0.200866
layered mountain peaks,compositional_style,23,21,21,fear=0.345,disgust=0.608,fear=0.373,0.294930,0.005202,0.300059,0.200064
strolling figures,objects_subjects,15,15,13,contentment=0.538,contentment=0.795,amusement=0.314,0.058270,0.209391,0.332016,0.199892
sharp outlines,compositional_style,25,27,23,contentment=0.288,contentment=0.333,awe=0.309,0.090790,0.186001,0.322805,0.199865
wooden rowboat,objects_subjects,20,21,18,contentment=0.633,contentment=0.765,amusement=0.467,0.060813,0.237594,0.300244,0.199550
stylized features,compositional_style,11,10,10,amusement=0.548,contentment=0.379,contentment=0.448,0.142682,0.329005,0.126579,0.199422
piano,objects_subjects,28,32,26,contentment=0.569,contentment=0.726,amusement=0.574,0.074376,0.218709,0.304644,0.199243
wooden pier,objects_subjects,89,49,44,contentment=0.594,contentment=0.832,amusement=0.505,0.041173,0.217345,0.339140,0.199219
gilded mirror,objects_subjects,10,10,10,awe=0.310,contentment=0.586,excitement=0.379,0.247073,0.084199,0.265873,0.199048
peasant,objects_subjects,11,10,11,awe=0.290,sadness=0.379,contentment=0.355,0.194487,0.264240,0.137939,0.198889
passengers,objects_subjects,26,25,25,contentment=0.574,contentment=0.627,amusement=0.458,0.026736,0.267111,0.300237,0.198028
dunes,objects_subjects,11,10,10,contentment=0.484,contentment=0.655,amusement=0.517,0.054037,0.199540,0.340420,0.197999
reflective wet surfaces,compositional_style,19,21,18,contentment=0.489,contentment=0.686,amusement=0.467,0.036551,0.233875,0.323443,0.197956
graphic design style,compositional_style,15,15,15,something else=0.333,contentment=0.436,something else=0.282,0.349376,0.119906,0.124405,0.197896
palm leaves,objects_subjects,10,10,10,amusement=0.310,contentment=0.379,amusement=0.310,0.279908,0.091942,0.221114,0.197654
theatrical setting,scenes_settings,37,36,33,fear=0.349,fear=0.481,contentment=0.253,0.226309,0.186814,0.179719,0.197614
dancing woman,objects_subjects,14,15,15,excitement=0.405,contentment=0.590,amusement=0.436,0.261995,0.125060,0.205408,0.197488
city park,scenes_settings,24,25,21,contentment=0.614,contentment=0.729,amusement=0.490,0.034193,0.266969,0.289870,0.197011
decanter,objects_subjects,13,15,15,contentment=0.714,contentment=0.744,amusement=0.436,0.000543,0.286840,0.303087,0.196823
fog,objects_subjects,12,12,14,awe=0.333,disgust=0.394,fear=0.351,0.196133,0.179409,0.214582,0.196708
hard-edge abstraction,compositional_style,20,21,18,something else=0.469,contentment=0.333,something else=0.467,0.312067,0.081914,0.195937,0.196639
outdoor celebration,scenes_settings,14,12,11,excitement=0.351,contentment=0.576,excitement=0.419,0.254553,0.086872,0.248155,0.196527
cylinders,objects_subjects,10,11,10,amusement=0.448,awe=0.419,awe=0.310,0.260086,0.218123,0.110870,0.196360
post-impressionist brushwork,compositional_style,10,11,10,awe=0.310,contentment=0.484,amusement=0.310,0.173073,0.196813,0.218918,0.196268
yellow highlights,colors_color_schemes,10,10,10,contentment=0.310,contentment=0.586,amusement=0.448,0.056654,0.264457,0.267188,0.196100
scholar s rocks,symbolic_cultural_motifs,12,12,14,contentment=0.636,disgust=0.636,contentment=0.730,0.271671,0.031814,0.282914,0.195466
flowerbeds,objects_subjects,35,40,35,contentment=0.494,contentment=0.730,amusement=0.570,0.076219,0.231298,0.278681,0.195399
paint drips,objects_subjects,10,10,10,anger=0.241,disgust=0.448,awe=0.241,0.259323,0.105319,0.220850,0.195164
music room,scenes_settings,34,34,27,contentment=0.403,contentment=0.688,amusement=0.619,0.081390,0.150829,0.353039,0.195086
forest stream,scenes_settings,32,35,32,contentment=0.534,contentment=0.646,awe=0.315,0.017179,0.255231,0.312524,0.194978
lanterns,objects_subjects,23,23,23,excitement=0.382,contentment=0.382,amusement=0.564,0.031552,0.269371,0.283936,0.194953
palace garden,scenes_settings,36,36,36,awe=0.457,contentment=0.580,awe=0.284,0.313322,0.046871,0.224277,0.194823
grey coat,objects_subjects,14,15,15,amusement=0.189,sadness=0.590,contentment=0.538,0.123979,0.235549,0.224358,0.194629
ballroom,scenes_settings,15,15,15,excitement=0.385,contentment=0.692,amusement=0.487,0.165700,0.115242,0.301933,0.194292
cruciform halo,symbolic_cultural_motifs,21,21,20,awe=0.529,contentment=0.451,contentment=0.592,0.291065,0.214544,0.077251,0.194287
golden yellows,colors_color_schemes,19,26,19,contentment=0.404,contentment=0.541,amusement=0.447,0.135083,0.164958,0.282642,0.194228
military uniforms,objects_subjects,15,15,15,amusement=0.385,contentment=0.487,contentment=0.385,0.195264,0.277593,0.109624,0.194160
tall tree,objects_subjects,24,26,24,contentment=0.684,contentment=0.836,amusement=0.368,0.023869,0.232935,0.324569,0.193791
woodland stream,scenes_settings,13,13,13,contentment=0.429,contentment=0.429,amusement=0.314,0.160539,0.188722,0.230638,0.193300
woman holding a baby,objects_subjects,13,13,11,fear=0.429,contentment=0.429,awe=0.355,0.198291,0.167924,0.213262,0.193159
potted plants,objects_subjects,102,104,97,contentment=0.765,contentment=0.843,amusement=0.448,0.035494,0.242192,0.301438,0.193041
sword hilt,objects_subjects,49,46,46,amusement=0.383,contentment=0.347,contentment=0.287,0.199061,0.247990,0.130785,0.192612
geometric wave patterns,symbolic_cultural_motifs,12,12,12,amusement=0.273,disgust=0.455,awe=0.212,0.261293,0.093772,0.222658,0.192574
shovel,objects_subjects,10,10,10,fear=0.241,sadness=0.586,contentment=0.379,0.151380,0.247209,0.178788,0.192459
geometric rug patterns,symbolic_cultural_motifs,19,20,20,contentment=0.447,contentment=0.714,amusement=0.510,0.069434,0.223583,0.283694,0.192237
traditional hairstyle,symbolic_cultural_motifs,12,13,13,excitement=0.394,contentment=0.314,awe=0.371,0.194821,0.181600,0.200225,0.192215
polka dots,symbolic_cultural_motifs,24,25,23,amusement=0.439,contentment=0.424,amusement=0.382,0.310782,0.111470,0.154332,0.192195
patterned dresses,objects_subjects,15,13,14,awe=0.282,contentment=0.657,amusement=0.622,0.100981,0.144872,0.329613,0.191822
book pages,objects_subjects,32,32,30,contentment=0.507,disgust=0.370,awe=0.391,0.154167,0.197081,0.224041,0.191763
red background,colors_color_schemes,14,14,15,awe=0.351,disgust=0.351,contentment=0.333,0.261977,0.075376,0.237604,0.191652
ruffled sleeves,objects_subjects,10,10,10,amusement=0.517,contentment=0.724,contentment=0.379,0.353616,0.132126,0.089077,0.191607
summer scene,scenes_settings,20,21,20,contentment=0.633,contentment=0.725,amusement=0.551,0.070780,0.254793,0.249230,0.191601
lotus pedestals,objects_subjects,23,23,23,awe=0.273,disgust=0.382,contentment=0.382,0.246104,0.149857,0.178788,0.191583
fishing,scenes_settings,55,16,14,contentment=0.697,contentment=0.707,excitement=0.351,0.016242,0.266945,0.290900,0.191362
linear composition,compositional_style,12,14,13,something else=0.394,contentment=0.405,awe=0.371,0.214282,0.160967,0.198785,0.191345
brown paper background,colors_color_schemes,14,12,14,contentment=0.459,disgust=0.576,contentment=0.514,0.244679,0.063957,0.265071,0.191236
outdoor bathing scene,scenes_settings,29,28,28,contentment=0.433,contentment=0.538,amusement=0.508,0.116319,0.163556,0.293755,0.191210
white walls,objects_subjects,17,18,18,amusement=0.209,contentment=0.600,awe=0.511,0.213174,0.215315,0.144731,0.191073
rainy day,scenes_settings,58,60,56,contentment=0.472,contentment=0.705,amusement=0.471,0.063501,0.245945,0.263645,0.191030
industrial waterfront,scenes_settings,11,15,10,excitement=0.290,contentment=0.744,awe=0.310,0.192610,0.145014,0.235428,0.191017
secluded valley,scenes_settings,37,37,33,contentment=0.422,disgust=0.470,awe=0.467,0.236133,0.031953,0.304616,0.190901
pear,objects_subjects,55,15,15,contentment=0.664,contentment=0.795,amusement=0.385,0.036366,0.242223,0.294016,0.190868
kites,objects_subjects,15,16,15,contentment=0.231,contentment=0.610,amusement=0.641,0.118294,0.154223,0.299880,0.190799
urban winter scene,scenes_settings,10,10,10,contentment=0.586,contentment=0.586,amusement=0.448,0.036086,0.267914,0.268297,0.190766
gilded scrollwork,symbolic_cultural_motifs,15,15,14,awe=0.538,contentment=0.744,contentment=0.459,0.242617,0.234635,0.094539,0.190597
two smaller seated figures,objects_subjects,12,14,12,something else=0.333,disgust=0.297,contentment=0.333,0.232883,0.202974,0.135763,0.190540
onion dome,objects_subjects,11,10,10,contentment=0.355,contentment=0.448,amusement=0.310,0.135387,0.226644,0.208859,0.190297
flat color application,compositional_style,20,21,18,contentment=0.429,contentment=0.490,something else=0.378,0.050296,0.285456,0.235094,0.190282
hillside pasture,scenes_settings,14,21,15,contentment=0.514,contentment=0.608,amusement=0.487,0.071368,0.221333,0.277824,0.190175
patterned drapery,objects_subjects,11,11,10,amusement=0.355,contentment=0.548,contentment=0.517,0.282097,0.269594,0.017930,0.189874
female figures,objects_subjects,20,21,21,awe=0.347,contentment=0.490,awe=0.451,0.154973,0.125551,0.288876,0.189800
sparse trees,objects_subjects,18,19,14,awe=0.467,contentment=0.532,amusement=0.297,0.136222,0.205220,0.227873,0.189772
hilltop view,scenes_settings,10,12,10,contentment=0.379,contentment=0.636,amusement=0.448,0.065642,0.235650,0.267542,0.189612
picnic scene,scenes_settings,15,17,13,contentment=0.538,contentment=0.674,amusement=0.543,0.088529,0.221926,0.257851,0.189436
white dresses,objects_subjects,74,80,69,contentment=0.618,contentment=0.822,amusement=0.578,0.071374,0.226283,0.270012,0.189223
gothic architecture,objects_subjects,10,11,10,contentment=0.379,contentment=0.419,awe=0.448,0.137442,0.160922,0.269149,0.189171
stylized waves,symbolic_cultural_motifs,29,29,30,amusement=0.224,disgust=0.343,awe=0.449,0.159197,0.134890,0.272681,0.188923
semi-abstract,compositional_style,14,15,13,contentment=0.405,contentment=0.538,amusement=0.543,0.082907,0.174907,0.308947,0.188920
vertical perspective,compositional_style,17,15,17,fear=0.256,disgust=0.385,awe=0.535,0.126552,0.128062,0.311900,0.188838
headwear,objects_subjects,15,15,15,contentment=0.436,disgust=0.385,awe=0.231,0.235344,0.171072,0.159988,0.188801
indoor social gathering,scenes_settings,15,15,15,amusement=0.231,contentment=0.641,amusement=0.590,0.100424,0.145256,0.320625,0.188768
soft focus brushwork,compositional_style,10,11,10,excitement=0.310,contentment=0.548,amusement=0.517,0.113603,0.209447,0.243028,0.188693
stylized human figure,objects_subjects,19,20,18,amusement=0.319,fear=0.306,awe=0.511,0.153136,0.193308,0.219440,0.188628
pink roses,objects_subjects,77,86,74,contentment=0.534,contentment=0.779,amusement=0.516,0.086331,0.217931,0.261400,0.188554
parisian street scene,scenes_settings,11,11,10,contentment=0.484,contentment=0.677,amusement=0.517,0.065804,0.225158,0.274418,0.188460
baroque brushwork,compositional_style,20,20,20,awe=0.592,contentment=0.429,excitement=0.224,0.272904,0.175075,0.117368,0.188449
indoor setting with architectural elements,scenes_settings,16,16,15,awe=0.415,contentment=0.659,contentment=0.333,0.317716,0.167179,0.079860,0.188252
quiver of arrows,objects_subjects,25,26,23,awe=0.356,contentment=0.443,amusement=0.418,0.118810,0.183365,0.262044,0.188073
slender trees,objects_subjects,37,40,34,contentment=0.494,contentment=0.753,amusement=0.506,0.072109,0.213651,0.278190,0.187983
